Suburb,Rooms,Type,Price,Method,SellerG,Date,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Propertycount,price_airbnb
Abbotsford,2,h,1480000.0,S,Biggin,3/12/2016,3067.0,1.0,1.0,202.0,,,Yarra,4019.0,130.62403100775194
Abbotsford,2,h,1035000.0,S,Biggin,4/02/2016,3067.0,1.0,0.0,156.0,79.0,1900.0,Yarra,4019.0,130.62403100775194
Abbotsford,3,h,1465000.0,SP,Biggin,4/03/2017,3067.0,2.0,0.0,134.0,150.0,1900.0,Yarra,4019.0,130.62403100775194
Abbotsford,3,h,850000.0,PI,Biggin,4/03/2017,3067.0,2.0,1.0,94.0,,,Yarra,4019.0,130.62403100775194
Abbotsford,4,h,1600000.0,VB,Nelson,4/06/2016,3067.0,1.0,2.0,120.0,142.0,2014.0,Yarra,4019.0,130.62403100775194
Abbotsford,2,h,941000.0,S,Jellis,7/05/2016,3067.0,1.0,0.0,181.0,,,Yarra,4019.0,130.62403100775194
Abbotsford,3,h,1876000.0,S,Nelson,7/05/2016,3067.0,2.0,0.0,245.0,210.0,1910.0,Yarra,4019.0,130.62403100775194
Abbotsford,2,h,1636000.0,S,Nelson,8/10/2016,3067.0,1.0,2.0,256.0,107.0,1890.0,Yarra,4019.0,130.62403100775194
Abbotsford,1,u,300000.0,S,Biggin,8/10/2016,3067.0,1.0,1.0,0.0,,,Yarra,4019.0,130.62403100775194
Abbotsford,2,h,1097000.0,S,Biggin,8/10/2016,3067.0,1.0,2.0,220.0,75.0,1900.0,Yarra,4019.0,130.62403100775194
Abbotsford,2,u,700000.0,VB,Jellis,12/11/2016,3067.0,2.0,1.0,0.0,,,Yarra,4019.0,130.62403100775194
Abbotsford,3,h,1350000.0,VB,Nelson,12/11/2016,3067.0,2.0,2.0,214.0,190.0,2005.0,Yarra,4019.0,130.62403100775194
Abbotsford,2,u,750000.0,S,Biggin,12/11/2016,3067.0,2.0,1.0,0.0,94.0,2009.0,Yarra,4019.0,130.62403100775194
Abbotsford,2,h,1172500.0,S,Biggin,13/08/2016,3067.0,1.0,1.0,195.0,,,Yarra,4019.0,130.62403100775194
Abbotsford,1,u,441000.0,SP,Greg,14/05/2016,3067.0,1.0,1.0,0.0,,,Yarra,4019.0,130.62403100775194
Abbotsford,2,h,1310000.0,S,Jellis,15/10/2016,3067.0,1.0,2.0,238.0,97.0,1890.0,Yarra,4019.0,130.62403100775194
Abbotsford,3,h,1200000.0,S,Jellis,16/07/2016,3067.0,2.0,1.0,113.0,110.0,1880.0,Yarra,4019.0,130.62403100775194
Abbotsford,3,h,1176500.0,S,LITTLE,16/07/2016,3067.0,1.0,1.0,138.0,105.0,1890.0,Yarra,4019.0,130.62403100775194
Abbotsford,3,h,955000.0,S,Collins,17/09/2016,3067.0,1.0,0.0,183.0,,,Yarra,4019.0,130.62403100775194
Abbotsford,2,h,890000.0,S,Biggin,17/09/2016,3067.0,1.0,1.0,150.0,73.0,1985.0,Yarra,4019.0,130.62403100775194
Abbotsford,4,h,1330000.0,PI,Kay,18/03/2017,3067.0,2.0,2.0,780.0,135.0,1900.0,Yarra,4019.0,130.62403100775194
Abbotsford,3,t,900000.0,S,Beller,18/03/2017,3067.0,2.0,2.0,0.0,,2010.0,Yarra,4019.0,130.62403100775194
Abbotsford,3,u,1090000.0,S,Jellis,18/03/2017,3067.0,2.0,2.0,4290.0,27.0,,Yarra,4019.0,130.62403100775194
Abbotsford,2,u,500000.0,S,Collins,18/06/2016,3067.0,1.0,1.0,0.0,60.0,1970.0,Yarra,4019.0,130.62403100775194
